airline=# select aircraft_rn, count(weight) as total from
airline-# (
airline(# select aircraft_rn, weight from luggage
airline(# )
airline-# group by aircraft_rn
airline-# order by total desc
airline-# limit 1;
 aircraft_rn | total
-------------+-------
 N-554FG     |   391
(1 row)


Time: 23.554 ms


airline=# select
airline-#   first_name,
airline-#   last_name,
airline-#   (current_date - dob)/365 as age,
airline-#   flight_hours,
airline-#   (current_date - hire_date)/365 as emp_years,
airline-#   (current_date - dob)/365 - (current_date - hire_date)/365 as hiring_age
airline-# from pilot
airline-# where
airline-#   (current_date - dob)/365 between 18 and 30 and  -- 18 <= age <= 30
airline-#   flight_hours >= 2000 and
airline-#   (current_date - dob)/365 - (current_date - hire_date)/365 >= 18; -- must have been hired above 18
 first_name | last_name  | age | flight_hours | emp_years | hiring_age
------------+------------+-----+--------------+-----------+------------
 Itzel      | Henson     |  21 |         2244 |         3 |         18
 Reid       | Mcneil     |  22 |         2364 |         2 |         20
 Cristal    | Porter     |  29 |         6288 |         8 |         21
 Marvin     | Pace       |  29 |         6336 |         7 |         22
 Barrett    | Chaney     |  28 |         6232 |         7 |         21
 Penelope   | Schmidt    |  27 |         3770 |         5 |         22
 Kaitlyn    | Chan       |  28 |         6104 |         7 |         21
 Maximus    | Carroll    |  28 |         5222 |         6 |         22
 Roger      | Woodard    |  28 |         4524 |         6 |         22
 Trevon     | Gilmore    |  29 |         4926 |         5 |         24
 Mattie     | Forbes     |  25 |         2346 |         2 |         23
 Carson     | Chandler   |  27 |         3845 |         4 |         23
 Alivia     | Shelton    |  30 |         5243 |         6 |         24
 Shelby     | Montes     |  28 |         7056 |         8 |         20
 Gemma      | Mack       |  27 |         6224 |         7 |         20
 Katherine  | Nichols    |  26 |         4740 |         5 |         21
 Grant      | Duncan     |  27 |         2259 |         2 |         25
 Jeramiah   | Glover     |  27 |         7047 |         8 |         19
 Emelia     | Turner     |  28 |         4668 |         5 |         23
 Jonah      | Keller     |  23 |         2379 |         3 |         20
 Aliana     | Hogan      |  29 |         2968 |         3 |         26
 Skye       | Salinas    |  24 |         5369 |         6 |         18
 Quinton    | Stafford   |  27 |         2469 |         3 |         24
 Angelica   | George     |  28 |         8140 |        10 |         18
 Keith      | Melton     |  30 |         3120 |         3 |         27
 Arnav      | Barnett    |  25 |         4968 |         5 |         20
 Kendall    | Spencer    |  23 |         3735 |         4 |         19
 Leroy      | Rosario    |  28 |         6432 |         8 |         20
 Josh       | Lloyd      |  26 |         2992 |         3 |         23
 Edward     | Wang       |  26 |         3760 |         4 |         22
 Amani      | Graves     |  30 |         7920 |         9 |         21
 Haleigh    | Salazar    |  29 |         2466 |         2 |         27
 Bradyn     | Kennedy    |  26 |         4650 |         5 |         21
 Samara     | Harrison   |  25 |         5726 |         6 |         19
 Natalia    | Gonzalez   |  28 |         6912 |         9 |         19
 Sylvia     | Turner     |  30 |         4878 |         6 |         24
 Leyla      | Roberts    |  26 |         3200 |         4 |         22
 Krystal    | Dennis     |  26 |         4145 |         4 |         22
 Belinda    | Hanna      |  24 |         3196 |         3 |         21
 Mia        | Keith      |  24 |         3092 |         3 |         21
 Kareem     | Gomez      |  27 |         2295 |         3 |         24
 Elisa      | Swanson    |  29 |         5621 |         6 |         23
 Derrick    | Schneider  |  26 |         3730 |         4 |         22
 Landon     | Page       |  25 |         4692 |         6 |         19
 Jeffrey    | Rios       |  23 |         4065 |         4 |         19
 Yurem      | Cox        |  21 |         2307 |         2 |         19
 Ashanti    | Allen      |  22 |         3224 |         4 |         18
 Adalyn     | Mccann     |  26 |         2391 |         3 |         23
 Angel      | Sutton     |  29 |         4734 |         6 |         23
 Javier     | Black      |  29 |         7570 |        10 |         19
 Emerson    | Hendricks  |  28 |         2484 |         3 |         25
 Abdiel     | Flynn      |  26 |         3212 |         3 |         23
 Kason      | Roberson   |  24 |         2355 |         2 |         22
 Cierra     | Glover     |  30 |         3780 |         5 |         25
 Tyree      | Alexander  |  28 |         4776 |         5 |         23
 Leslie     | Meyer      |  27 |         6088 |         7 |         20
 Lina       | Pugh       |  29 |         8000 |         9 |         20
 Leslie     | Escobar    |  28 |         5488 |         6 |         22
 Gianni     | Chavez     |  28 |         4452 |         5 |         23
 Janelle    | Mora       |  30 |         2262 |         2 |         28
 Malik      | Joyce      |  27 |         2996 |         3 |         24
 Lilia      | Rogers     |  24 |         2286 |         2 |         22
 Franklin   | Miles      |  26 |         7272 |         8 |         18
 Leticia    | Craig      |  27 |         6072 |         7 |         20
 Virginia   | Lindsey    |  27 |         7182 |         8 |         19
 Freddy     | Roth       |  26 |         2289 |         3 |         23
 Kale       | Cowan      |  29 |         7550 |         9 |         20
 Darnell    | Wilkinson  |  25 |         5944 |         7 |         18
 Stephany   | Bautista   |  25 |         3256 |         3 |         22
 Maliyah    | Massey     |  29 |         5754 |         7 |         22
 Harry      | Williamson |  22 |         2484 |         3 |         19
 Kamari     | Garza      |  24 |         4608 |         6 |         18
 Lilliana   | Lucas      |  27 |         2244 |         2 |         25
 Ari        | Schultz    |  28 |         3028 |         3 |         25
 Jordan     | Gross      |  26 |         5474 |         7 |         19
 Yuliana    | Horn       |  29 |         2313 |         2 |         27
 Rylie      | House      |  27 |         4020 |         5 |         22
 Simon      | Turner     |  24 |         5243 |         6 |         18
 Cohen      | Gordon     |  27 |         3870 |         4 |         23
 Lorenzo    | Giles      |  20 |         2244 |         2 |         18
 Amani      | Ayers      |  27 |         8290 |         9 |         18
 Dominique  | Mcfarland  |  25 |         4626 |         5 |         20
 Justice    | Alexander  |  27 |         4656 |         6 |         21
 Jayden     | Yu         |  28 |         6112 |         8 |         20
 Jaylon     | Anderson   |  27 |         3272 |         4 |         23
 Britney    | Tucker     |  30 |         2238 |         3 |         27
 Ibrahim    | Bass       |  29 |         3950 |         4 |         25
 Kenny      | Crane      |  30 |         8437 |        11 |         19
 Charlee    | Allen      |  29 |         3280 |         3 |         26
 Kiersten   | Bradley    |  25 |         3925 |         5 |         20
 Abel       | Dickerson  |  28 |         7137 |         9 |         19
 Stephanie  | Sampson    |  24 |         3725 |         5 |         19
 Lilly      | Sandoval   |  29 |         4025 |         4 |         25
 Nathalia   | Briggs     |  23 |         4548 |         5 |         18
 Jabari     | Barrett    |  29 |         3825 |         4 |         25
 Logan      | Chavez     |  25 |         3845 |         5 |         20
 Kaydence   | Owens      |  27 |         2454 |         2 |         25
 Cody       | Sexton     |  29 |         8778 |        10 |         19
 Wayne      | Johnson    |  30 |         9096 |        11 |         19
 Stephany   | Ryan       |  23 |         2385 |         3 |         20
 Will       | Flynn      |  24 |         3116 |         3 |         21
 Leonidas   | Macdonald  |  28 |         5208 |         7 |         21
 Yareli     | Rodriguez  |  26 |         3990 |         4 |         22
 Trevor     | Mejia      |  29 |         3208 |         3 |         26
 Rigoberto  | Choi       |  28 |         2265 |         2 |         26
 Anastasia  | Blevins    |  27 |         3184 |         4 |         23
 Amirah     | Nelson     |  26 |         4085 |         5 |         21
 Leticia    | Knight     |  29 |         8943 |        11 |         18
 Delaney    | Gamble     |  25 |         3780 |         4 |         21
 Katherine  | Gibson     |  27 |         4788 |         6 |         21
 River      | Watkins    |  27 |         3036 |         3 |         24
 Lana       | Wyatt      |  29 |         8910 |        11 |         18
 Kiera      | Potter     |  28 |         2232 |         2 |         26
